dataset,run,seed,checkpoint,epoch,readout,eta,samples,nonzero_samples,acc7,mae,acc2non0,f1non0
CMU-MOSEI,no_gate,40,best_mae_model,6,expected,1.0,4659,3634,54.75423910710453,0.5089875087741683,86.46119977985691,85.76802280264705
CMU-MOSEI,shared_filter,40,best_acc7_model,4,expected,0.0,4659,3634,55.22644344279888,0.5011711315493563,87.17666483214089,86.3025784843316
CMU-MOSEI,shared_filter,40,best_acc7_model,4,expected,0.2,4659,3634,55.591328611289974,0.49665184563189146,87.45184369840396,86.62801056651716
CMU-MOSEI,shared_filter,40,best_acc7_model,4,expected,0.4,4659,3634,55.805966945696504,0.49400488087882644,87.17666483214089,86.37399710589737
CMU-MOSEI,shared_filter,40,best_acc7_model,4,expected,0.6,4659,3634,55.741575445374544,0.49304638456507843,87.06659328563566,86.30305942553011
CMU-MOSEI,shared_filter,40,best_acc7_model,4,expected,0.8,4659,3634,55.78450311225585,0.493448038646028,87.12162905888827,86.3873561065568
CMU-MOSEI,shared_filter,40,best_acc7_model,4,expected,0.9,4659,3634,55.720111611933895,0.49433230207207524,87.17666483214089,86.45283382329272
CMU-MOSEI,shared_filter,40,best_acc7_model,4,expected,1.0,4659,3634,55.84889461257781,0.4956498252390619,87.2317006053935,86.52180585752653
CMU-MOSEI,shared_filter,40,best_mae_model,4,expected,0.0,4659,3634,55.22644344279888,0.5011711315493563,87.17666483214089,86.3025784843316
CMU-MOSEI,shared_filter,40,best_mae_model,4,expected,0.2,4659,3634,55.591328611289974,0.49665184563189146,87.45184369840396,86.62801056651716
CMU-MOSEI,shared_filter,40,best_mae_model,4,expected,0.4,4659,3634,55.805966945696504,0.49400488087882644,87.17666483214089,86.37399710589737
CMU-MOSEI,shared_filter,40,best_mae_model,4,expected,0.6,4659,3634,55.741575445374544,0.49304638456507843,87.06659328563566,86.30305942553011
CMU-MOSEI,shared_filter,40,best_mae_model,4,expected,0.8,4659,3634,55.78450311225585,0.493448038646028,87.12162905888827,86.3873561065568
CMU-MOSEI,shared_filter,40,best_mae_model,4,expected,0.9,4659,3634,55.720111611933895,0.49433230207207524,87.17666483214089,86.45283382329272
CMU-MOSEI,shared_filter,40,best_mae_model,4,expected,1.0,4659,3634,55.84889461257781,0.4956498252390619,87.2317006053935,86.52180585752653
